STA,YR,MO,DA,MAX,MIN
11604,45,10,23,86.0,77.0
11601,42,11,7,82.0,74.0
16405,42,9,8,50.0,38.0
43201,45,10,31,62.0,48.0
33019,43,12,6,63.0,58.0
32815,45,1,21,82.0,54.0
10718,43,8,23,91.0,75.0
33501,44,1,2,51.0,36.0
10802,44,5,14,90.0,75.0
11101,43,6,14,86.0,76.0
10718,45,10,2,88.0,71.0
32601,44,2,17,80.0,56.0
82403,43,10,13,92.0,70.0
31701,44,7,26,81.0,67.0
10502,44,8,6,88.0,71.0
10002,44,4,4,87.0,78.0
80425,44,7,13,86.0,70.0
50303,44,2,15,86.0,73.0
33031,44,10,25,63.0,48.0
10502,41,12,12,86.0,70.0
10102,43,10,26,87.0,74.0
13005,44,6,10,87.0,62.0
15027,45,2,18,58.0,50.0
12701,45,3,17,89.0,66.0
10807,45,1,20,89.0,68.0
33401,44,9,12,110.0,78.0
16405,44,2,4,40.0,24.0
33501,45,4,23,69.0,50.0
12001,43,12,18,70.0,37.0
81404,43,5,4,86.0,74.0
22502,43,12,19,82.0,61.0
32906,45,6,6,91.0,73.0
31501,44,9,14,87.0,72.0
32702,43,12,14,85.0,58.0
80425,45,5,5,87.0,72.0
32801,42,11,14,88.0,59.0
13201,45,10,8,72.0,62.0
22508,42,6,18,86.0,67.0
11604,42,8,16,85.0,81.0
16407,42,12,30,22.0,18.0
11801,44,11,3,87.0,71.0
10705,43,3,12,92.0,73.0
11604,43,1,10,80.0,73.0
32603,45,3,27,110.0,64.0
31701,44,12,7,81.0,62.0
11701,43,1,23,86.0,68.0
82501,44,8,16,75.0,45.0
31701,44,1,11,80.0,62.0
11701,45,9,30,87.0,75.0
10803,42,5,27,89.0,74.0
30001,44,10,20,86.0,71.0
50801,45,9,18,75.0,67.0
33109,45,6,3,76.0,58.0
10705,44,7,6,89.0,73.0
34109,45,3,4,43.0,36.0
11606,43,2,19,83.0,72.0
13601,42,4,26,69.0,63.0
11902,45,3,16,92.0,69.0
50304,44,2,9,86.0,71.0
31701,44,10,2,84.0,66.0
22508,45,3,29,75.0,65.0
22509,41,1,29,81.0,65.0
13601,42,4,18,70.0,58.0
22508,45,7,21,81.0,66.0
10705,45,10,18,90.0,71.0
32601,43,4,17,97.0,71.0
21501,45,1,12,80.0,61.0
10001,43,2,16,89.0,72.0
33305,45,8,19,95.0,64.0
34113,44,4,4,66.0,45.0
40601,45,8,19,88.0,77.0
13002,44,3,10,61.0,47.0
50301,45,8,15,82.0,72.0
10703,43,12,31,86.0,73.0
11501,44,8,31,87.0,71.0
10102,44,8,14,77.0,72.0
30001,44,6,25,83.0,79.0
10701,41,1,24,92.0,74.0
10803,43,3,31,89.0,74.0
11604,45,12,4,82.0,74.0
22504,45,3,11,82.0,69.0
82501,43,6,3,67.0,42.0
11610,41,9,8,93.0,73.0
11701,42,7,26,93.0,78.0
80412,44,8,9,86.0,71.0
10803,43,3,25,86.0,73.0
50302,43,4,17,86.0,75.0
50401,44,7,11,89.0,71.0
16407,43,5,22,53.0,43.0
12701,42,8,6,94.0,75.0
10718,45,2,1,90.0,74.0
10701,43,3,2,91.0,74.0
43307,45,12,4,54.0,31.0
33031,45,9,3,90.0,70.0
50301,45,10,27,86.0,75.0
13005,45,12,20,77.0,50.0
34147,45,6,2,73.0,52.0
80412,44,4,15,87.0,77.0
81702,42,7,19,87.0,66.0
22508,43,7,11,82.0,67.0
32504,44,9,1,110.0,79.0
32805,44,10,23,86.0,60.0
32503,45,3,30,71.0,61.0
12701,44,6,1,88.0,70.0
10804,44,10,23,81.0,72.0
22504,41,1,23,83.0,67.0
10803,45,10,1,82.0,74.0
50801,44,3,6,84.0,77.0
16405,45,8,30,48.0,41.0
81404,43,4,3,87.0,75.0
81601,43,5,1,82.0,71.0
31701,44,6,6,88.0,69.0
11902,45,9,27,86.0,74.0
22504,42,2,23,77.0,67.0
34022,45,6,20,81.0,65.0
10803,43,1,8,90.0,73.0
31001,43,6,27,90.0,71.0
11101,43,10,15,88.0,75.0
13002,45,1,17,57.0,46.0
22504,44,10,28,84.0,72.0
32904,45,9,30,91.0,75.0
32601,45,1,14,67.0,49.0
50802,43,9,23,77.0,60.0
12101,44,9,2,98.0,82.0
32904,45,6,21,92.0,76.0
60701,44,1,24,84.0,74.0
16504,44,11,22,20.0,0.0
16407,45,9,16,43.0,32.0
10804,45,11,13,89.0,72.0
32603,45,7,17,97.0,80.0
10505,45,1,5,77.0,70.0
50302,43,9,7,86.0,74.0
11103,45,4,11,77.0,70.0
32812,44,3,27,93.0,67.0
10806,45,7,4,76.0,62.0
11501,45,1,14,82.0,65.0
10718,45,1,7,88.0,67.0
34123,44,5,9,67.0,53.0
12101,43,7,21,100.0,83.0
34022,45,7,11,74.0,55.0
32803,43,10,22,86.0,74.0
22507,44,8,19,91.0,68.0
32801,43,10,21,79.0,66.0
16504,44,11,21,25.0,18.0
80425,45,3,24,90.0,72.0
50302,44,3,8,92.0,74.0
13002,44,5,19,75.0,56.0
11701,44,3,17,92.0,70.0
80412,45,5,18,84.0,74.0
32803,44,11,13,86.0,63.0
33003,44,12,9,57.0,44.0
30001,43,11,10,84.0,75.0
31101,45,5,28,102.0,75.0
82403,44,9,30,93.0,66.0
31701,44,1,21,81.0,59.0
10101,44,2,8,90.0,71.0
33206,45,3,3,57.0,44.0
50801,42,9,15,71.0,68.0
11901,42,11,15,67.0,55.0
34002,44,1,1,46.0,41.0
22502,41,1,2,80.0,66.0
32603,45,5,16,108.0,77.0
10701,43,6,19,89.0,74.0
10718,45,12,4,81.0,75.0
16201,45,8,25,57.0,45.0
12001,43,9,11,101.0,72.0
11801,43,2,16,87.0,69.0
82501,43,6,21,63.0,50.0
50302,44,2,9,90.0,77.0
22504,43,6,3,87.0,72.0
32801,44,1,3,77.0,50.0
50304,45,3,11,87.0,74.0
34111,44,8,16,99.0,70.0
50801,45,7,10,75.0,67.0
32803,45,4,20,96.0,73.0
11701,43,12,21,85.0,72.0
80411,45,4,20,91.0,77.0
33013,44,10,5,69.0,59.0
13005,45,8,4,104.0,68.0
11604,42,7,23,84.0,81.0
43305,45,11,14,63.0,55.0
40601,45,1,25,87.0,77.0
32702,45,11,9,94.0,58.0
33117,45,9,23,81.0,68.0
12702,44,1,19,70.0,63.0
11801,44,7,19,89.0,75.0
50303,44,6,22,82.0,70.0
16405,45,4,14,37.0,22.0
10705,45,1,18,90.0,73.0
13007,43,9,16,80.0,53.0
32906,45,6,4,85.0,72.0
10804,43,8,14,89.0,69.0
41204,45,9,10,85.0,74.0
50801,44,5,11,77.0,70.0
13201,44,1,13,59.0,47.0
40601,45,2,2,85.0,75.0
50303,44,6,23,84.0,72.0
50801,44,9,4,75.0,67.0
50802,44,11,26,79.0,63.0
16202,42,9,21,47.0,40.0
13601,45,8,31,84.0,71.0
13601,45,7,1,83.0,74.0
22508,45,3,21,77.0,65.0
22509,41,4,8,79.0,70.0
11902,45,1,17,89.0,62.0
33031,45,6,29,89.0,74.0
13002,44,1,8,59.0,47.0
32501,44,11,21,88.0,72.0
32501,44,2,8,79.0,64.0
16407,45,4,1,26.0,17.0
33303,44,12,30,69.0,53.0
50304,45,12,1,85.0,75.0
32701,44,11,14,90.0,58.0
34111,44,1,16,52.0,42.0
11606,43,8,21,88.0,78.0
10718,43,12,23,86.0,72.0
20501,43,10,23,88.0,76.0
32803,43,3,12,92.0,70.0
10102,45,2,21,86.0,75.0
50801,44,4,14,79.0,72.0
11615,45,10,2,86.0,72.0
34005,45,5,3,61.0,48.0
34109,44,8,19,83.0,67.0
60701,45,8,17,90.0,76.0
10803,44,12,3,92.0,73.0
50302,45,3,25,85.0,74.0
50801,45,1,21,83.0,75.0
11610,42,5,9,89.0,72.0
12702,44,10,21,87.0,81.0
11604,45,3,20,80.0,74.0
80412,43,12,26,89.0,72.0
11902,44,12,23,93.0,61.0
10701,44,7,5,89.0,74.0
10806,43,10,10,74.0,60.0
50801,45,1,28,81.0,76.0
31501,44,5,5,89.0,74.0
21501,45,9,12,82.0,65.0
12801,44,10,5,90.0,72.0
10703,44,9,13,88.0,77.0
22509,40,10,28,85.0,74.0
30001,44,3,9,86.0,76.0
11801,43,1,31,88.0,73.0
12001,45,5,19,98.0,63.0
32602,45,1,18,74.0,59.0
16504,43,3,27,15.0,6.0
82501,44,5,29,75.0,45.0
11704,43,12,9,88.0,66.0
80411,45,5,18,80.0,71.0
16504,45,7,2,59.0,42.0
50302,43,6,24,83.0,80.0
32904,43,12,5,81.0,53.0
16407,43,11,2,29.0,24.0
32701,45,4,5,99.0,61.0
32805,44,3,10,93.0,56.0
32904,45,9,10,82.0,77.0
81404,43,7,17,85.0,70.0
16202,44,6,16,54.0,45.0
61502,44,8,25,82.0,72.0
16405,42,12,22,23.0,11.0
10502,44,12,2,89.0,72.0
22508,42,10,8,80.0,67.0
12702,45,6,26,89.0,79.0
12801,43,10,5,90.0,67.0
12801,45,3,15,90.0,70.0
11701,43,3,19,91.0,68.0
10807,45,7,4,85.0,68.0
33023,43,10,11,76.0,62.0
82403,44,8,19,83.0,61.0
82506,45,2,24,88.0,71.0
31401,43,12,7,82.0,66.0
50401,44,8,7,90.0,74.0
10701,41,8,6,89.0,77.0
10718,43,2,5,90.0,74.0
13601,42,6,4,77.0,68.0
11704,44,6,17,87.0,71.0
11901,43,4,17,82.0,57.0
12101,45,3,13,91.0,58.0
33117,44,12,7,63.0,56.0
33305,45,10,16,86.0,53.0
10704,45,5,18,86.0,74.0
50801,45,8,4,75.0,67.0
10102,43,4,11,86.0,71.0
33117,45,1,17,55.0,48.0
34139,45,5,28,81.0,56.0
32904,44,2,11,77.0,55.0
12101,44,3,25,93.0,62.0
33401,44,3,2,81.0,47.0
10803,44,8,13,89.0,74.0
60701,44,12,31,89.0,77.0
31701,45,5,18,94.0,67.0
34005,44,9,15,77.0,68.0
10001,43,1,17,88.0,72.0
81404,43,3,19,88.0,78.0
12001,44,10,9,82.0,65.0
32501,44,11,13,86.0,72.0
11604,41,12,6,84.0,77.0
50401,43,3,19,86.0,73.0
11901,45,4,18,82.0,62.0
34012,45,9,26,67.0,54.0
10102,45,3,15,94.0,73.0
12702,44,2,5,79.0,71.0
80411,45,5,6,87.0,73.0
10807,44,11,14,87.0,69.0
22507,42,12,16,83.0,63.0
11606,42,10,16,90.0,80.0
22507,45,3,25,84.0,64.0
32602,45,9,4,85.0,77.0
82403,44,3,25,95.0,66.0
34104,45,12,15,55.0,34.0
10718,45,12,30,86.0,73.0
13601,44,7,5,83.0,74.0
21501,45,6,4,85.0,68.0
82502,44,3,23,82.0,53.0
11701,43,7,8,94.0,73.0
33401,44,12,29,62.0,51.0
22502,43,3,2,77.0,65.0
50403,44,12,18,89.0,74.0
32701,44,5,31,112.0,88.0
13007,45,1,6,43.0,33.0
33023,45,11,4,73.0,54.0
22504,42,10,27,86.0,74.0
34139,44,11,26,60.0,52.0
81702,43,2,26,91.0,70.0
50401,45,6,9,83.0,73.0
80412,44,3,4,91.0,75.0
32301,44,12,26,68.0,37.0
10102,42,9,16,84.0,72.0
82502,43,6,10,75.0,37.0
22507,43,11,26,81.0,62.0
16202,41,10,17,42.0,35.0
10505,44,10,14,89.0,71.0
42204,45,9,23,84.0,72.0
16405,42,11,6,21.0,11.0
34109,44,6,3,77.0,60.0
22504,40,4,7,82.0,66.0
50401,42,12,1,88.0,72.0
33303,45,3,1,64.0,43.0
33031,42,12,22,60.0,43.0
32601,45,9,27,89.0,77.0
31401,45,5,4,89.0,77.0
50401,44,9,9,90.0,70.0
82503,43,8,24,80.0,48.0
82405,43,8,2,85.0,45.0
32301,45,6,24,103.0,69.0
32904,45,2,19,77.0,49.0
60701,43,12,13,85.0,80.0
82405,44,4,30,82.0,54.0
10802,44,5,30,86.0,74.0
50302,44,6,3,85.0,73.0
50801,43,9,17,72.0,67.0
12702,45,9,3,89.0,80.0
10002,45,7,20,81.0,75.0
22502,40,4,21,80.0,65.0
11610,42,4,26,91.0,77.0
50801,45,7,4,72.0,68.0
11610,42,12,1,88.0,71.0
32906,44,10,27,85.0,59.0
34111,44,10,2,75.0,60.0
10001,44,6,13,83.0,70.0
34013,44,11,23,61.0,43.0
10001,42,7,15,78.0,73.0
10102,42,12,1,87.0,72.0
10001,45,5,5,94.0,76.0
32812,45,4,3,105.0,76.0
22508,43,5,3,78.0,64.0
11701,42,8,5,92.0,73.0
10502,43,11,3,90.0,70.0
50801,43,8,9,75.0,68.0
11902,45,11,17,89.0,72.0
13005,44,4,24,94.0,55.0
11615,44,9,2,88.0,70.0
34113,45,4,21,67.0,55.0
31701,43,2,14,85.0,61.0
82405,44,5,23,72.0,60.0
13601,42,8,28,83.0,75.0
10502,43,9,16,90.0,69.0
22509,40,2,8,78.0,64.0
50302,45,12,22,89.0,74.0
11701,45,11,28,87.0,72.0
33023,43,11,3,65.0,55.0
16202,43,1,25,38.0,30.0
22504,44,5,9,83.0,71.0
10803,43,5,19,91.0,74.0
33003,44,11,11,63.0,45.0
81404,42,9,25,85.0,75.0
12101,44,6,20,108.0,81.0
11601,43,5,6,85.0,73.0
32904,45,4,29,88.0,69.0
11601,44,3,16,87.0,72.0
16405,44,7,31,55.0,42.0
42204,45,7,9,87.0,80.0
33205,44,12,10,72.0,53.0
81601,44,8,14,81.0,63.0
22507,43,7,5,87.0,68.0
34150,45,11,16,58.0,38.0
22502,43,7,17,85.0,75.0
32701,44,1,24,65.0,57.0
10102,42,7,17,77.0,73.0
10806,44,10,1,80.0,59.0
34003,44,9,20,80.0,62.0
12801,45,2,6,82.0,59.0
34013,44,11,29,56.0,36.0
33405,44,7,10,107.0,76.0
10701,40,7,10,92.0,78.0
50401,42,11,22,94.0,71.0
32907,45,1,21,80.0,51.0
22509,40,7,11,84.0,74.0
30001,44,8,22,81.0,71.0
20602,45,3,27,81.0,74.0
34113,44,12,3,59.0,46.0
33023,43,9,4,88.0,68.0
82402,43,1,21,94.0,66.0
16504,42,1,19,0.0,-4.0
11601,44,5,24,88.0,76.0
10804,43,4,14,93.0,71.0
10705,43,6,10,90.0,75.0
32805,43,11,21,85.0,52.0
81702,44,7,12,85.0,62.0
11615,45,7,6,87.0,72.0
33123,45,4,20,78.0,45.0
21501,43,10,6,83.0,67.0
12702,45,5,25,81.0,69.0
16504,44,3,17,7.0,-20.0
82405,45,6,15,76.0,53.0
32904,45,6,8,96.0,78.0
82501,44,7,26,62.0,51.0
82405,43,6,29,72.0,47.0
11704,42,6,14,92.0,71.0
82501,44,2,8,87.0,72.0
33003,45,1,22,50.0,44.0
10705,45,2,7,91.0,73.0
32701,42,9,5,84.0,76.0
12001,44,12,12,68.0,37.0
11901,45,5,15,76.0,62.0
11610,42,3,3,86.0,72.0
32805,44,1,10,80.0,48.0
10102,43,10,14,89.0,71.0
50304,44,7,8,83.0,70.0
11601,44,1,23,83.0,74.0
10001,43,11,9,90.0,73.0
33303,44,2,16,85.0,61.0
50801,44,5,8,79.0,71.0
11604,45,8,16,87.0,77.0
11902,44,8,2,90.0,74.0
10802,44,1,21,87.0,76.0
32805,45,12,22,79.0,44.0
80509,44,11,22,90.0,74.0
10505,45,9,14,89.0,67.0
10806,45,6,24,79.0,64.0
33117,44,10,17,82.0,58.0
33303,45,2,18,65.0,50.0
15027,45,8,21,72.0,56.0
33031,43,3,21,60.0,48.0
10803,44,12,16,86.0,73.0
33031,43,1,22,60.0,47.0
10101,45,3,23,90.0,77.0
34147,45,9,12,75.0,59.0
11601,44,2,26,88.0,73.0
10002,44,4,9,88.0,76.0
13601,43,7,9,86.0,76.0
11604,44,5,14,84.0,75.0
32801,44,1,2,76.0,51.0
50802,43,2,15,87.0,72.0
31302,44,4,1,80.0,53.0
31701,44,12,30,81.0,56.0
32701,44,10,13,94.0,57.0
82502,44,9,9,81.0,43.0
12702,44,7,24,87.0,79.0
31701,44,1,23,79.0,55.0
11901,44,5,16,80.0,56.0
11901,43,11,15,73.0,57.0
32907,44,7,2,89.0,76.0
60701,45,11,2,89.0,78.0
10502,43,9,11,92.0,72.0
50401,44,6,1,89.0,73.0
33117,44,10,13,73.0,60.0
16202,43,9,2,57.0,50.0
33401,44,1,31,60.0,43.0
20501,42,3,9,89.0,75.0
33023,43,10,3,77.0,55.0
50303,44,5,21,84.0,76.0
22504,44,4,20,82.0,71.0
31101,44,10,30,102.0,60.0
22508,40,12,30,75.0,63.0
33501,45,6,11,100.0,66.0
10502,42,1,19,87.0,69.0
40601,45,1,27,87.0,78.0
11801,43,9,20,89.0,73.0
16201,45,11,11,51.0,38.0
32805,44,10,2,94.0,73.0
12001,44,9,22,97.0,64.0
10807,45,6,9,85.0,70.0
33501,45,7,5,101.0,71.0
10701,42,10,5,84.0,72.0
22508,40,2,15,79.0,59.0
11103,44,9,12,81.0,70.0
32907,43,8,22,87.0,78.0
31302,44,4,19,74.0,51.0
33014,44,6,7,80.0,61.0
11901,45,11,23,71.0,57.0
10001,43,11,7,90.0,73.0
22508,44,1,8,76.0,61.0
10806,45,6,15,80.0,63.0
33401,44,2,12,73.0,44.0
11704,44,9,23,86.0,71.0
22509,41,5,3,84.0,70.0
11604,42,3,8,80.0,73.0
31302,44,10,13,72.0,53.0
50403,43,10,4,89.0,76.0
10806,45,3,13,78.0,62.0
15027,45,5,8,68.0,56.0
16202,42,9,26,46.0,36.0
32815,44,4,13,97.0,77.0
22504,43,8,17,86.0,75.0
11601,45,5,8,87.0,72.0
22507,42,11,6,83.0,69.0
11601,42,5,7,87.0,79.0
10001,45,5,14,92.0,75.0
33044,43,4,11,72.0,34.0
32702,44,7,26,94.0,77.0
11610,44,8,3,86.0,72.0
50401,43,4,2,86.0,74.0
11610,43,9,19,91.0,71.0
22507,44,8,26,88.0,68.0
32815,45,12,16,80.0,59.0
32601,45,7,16,92.0,80.0
12801,45,6,8,94.0,74.0
32907,44,4,19,84.0,67.0
22508,45,3,31,78.0,64.0
11902,43,4,30,88.0,73.0
12101,45,3,10,90.0,60.0
16504,42,9,30,33.0,28.0
31001,45,6,1,101.0,74.0
10704,43,11,22,84.0,71.0
33044,43,8,4,95.0,70.0
13005,45,7,4,96.0,63.0
34113,45,2,1,53.0,41.0
40601,45,7,19,85.0,71.0
41207,45,10,19,89.0,75.0
33044,43,7,2,95.0,62.0
31401,44,4,15,90.0,69.0
22508,40,7,6,80.0,70.0
82403,42,8,15,93.0,55.0
13601,45,6,7,68.0,64.0
10718,45,6,22,86.0,74.0
22504,40,2,19,83.0,65.0
11615,44,6,17,78.0,70.0
16407,44,8,20,57.0,36.0
10804,43,1,1,87.0,69.0
33305,45,9,22,96.0,60.0
50802,45,12,21,84.0,67.0
32503,45,10,31,90.0,80.0
22502,41,3,17,76.0,62.0
16405,43,6,21,57.0,40.0
32602,44,10,24,88.0,73.0
13005,43,5,21,81.0,61.0
34113,45,7,26,94.0,67.0
50301,44,2,23,82.0,72.0
16405,44,8,11,60.0,43.0
50303,44,4,7,87.0,73.0
11601,44,3,9,85.0,75.0
32603,45,8,10,101.0,79.0
32801,44,6,8,107.0,84.0
31001,43,12,16,89.0,60.0
11610,43,7,5,86.0,70.0
10102,43,6,27,83.0,72.0
10502,42,7,29,85.0,71.0
50802,45,11,9,81.0,63.0
50801,43,9,21,73.0,68.0
16407,45,7,27,49.0,39.0
10804,43,7,7,93.0,71.0
16201,43,7,1,61.0,47.0
10803,43,4,17,90.0,76.0
11610,44,6,28,87.0,71.0
10804,43,3,18,93.0,67.0
10502,44,12,27,86.0,69.0
11801,43,5,25,92.0,73.0
10502,41,11,5,91.0,72.0
10704,43,12,24,85.0,71.0
80425,45,4,3,91.0,72.0
82503,44,12,5,92.0,61.0
10505,45,10,18,92.0,67.0
10701,44,1,24,82.0,73.0
11601,42,12,16,85.0,76.0
82502,44,4,2,82.0,51.0
11704,43,11,25,89.0,69.0
32801,44,5,22,111.0,84.0
32701,44,12,31,71.0,48.0
13201,44,7,13,75.0,69.0
31302,44,5,12,78.0,55.0
16405,45,3,22,35.0,26.0
31501,43,6,3,109.0,78.0
21501,43,5,13,87.0,67.0
11902,44,11,13,89.0,70.0
32702,44,11,29,85.0,61.0
80504,44,1,24,90.0,77.0
32301,44,3,19,82.0,51.0
31101,44,7,17,96.0,72.0
22504,45,1,24,80.0,60.0
13601,42,6,11,81.0,72.0
21501,44,11,14,80.0,64.0
50301,43,11,29,86.0,75.0
10505,44,8,11,91.0,71.0
50801,45,1,25,83.0,72.0
60701,44,4,29,93.0,76.0
33117,45,8,5,85.0,71.0
10001,44,12,22,91.0,76.0
32812,45,5,5,111.0,80.0
16202,41,12,27,37.0,30.0
10001,45,4,28,83.0,71.0
32501,43,9,7,84.0,68.0
10704,45,2,12,90.0,71.0
10703,43,10,2,86.0,76.0
22504,44,2,23,76.0,60.0
81601,44,8,8,77.0,72.0
11902,43,1,26,86.0,67.0
33023,44,1,17,58.0,41.0
22504,44,5,23,83.0,67.0
32301,44,7,30,104.0,79.0
16407,42,9,7,46.0,39.0
33117,44,5,25,68.0,56.0
10718,45,10,11,86.0,70.0
31101,45,3,23,95.0,68.0
34113,44,12,9,57.0,45.0
82502,45,4,7,88.0,60.0
11601,45,12,25,87.0,77.0
33003,45,4,23,75.0,55.0
22504,40,11,24,85.0,67.0
10802,45,4,22,90.0,78.0
16504,45,5,1,23.0,9.0
11610,45,9,7,84.0,74.0
40601,45,4,8,85.0,75.0
34018,45,7,9,80.0,65.0
33303,44,10,4,85.0,65.0
10705,45,8,16,82.0,71.0
16202,43,7,31,55.0,41.0
10803,41,10,20,92.0,72.0
33405,44,10,25,89.0,54.0
33305,45,12,9,70.0,38.0
50302,44,10,26,88.0,76.0
34113,45,9,22,83.0,62.0
31101,44,2,8,87.0,49.0
34150,45,9,7,87.0,63.0
16504,42,10,3,34.0,28.0
80425,44,11,13,88.0,69.0
61501,43,12,3,80.0,74.0
10001,44,8,29,81.0,71.0
10705,45,7,13,90.0,75.0
13201,44,1,30,68.0,59.0
22507,43,3,19,79.0,61.0
32815,44,4,25,98.0,76.0
11615,45,7,12,87.0,70.0
40601,45,9,8,88.0,79.0
10002,43,9,26,80.0,75.0
10703,45,8,19,86.0,75.0
13002,43,7,8,77.0,64.0
33401,44,3,30,87.0,57.0
50304,44,12,11,87.0,73.0
10703,44,7,20,82.0,74.0
80509,44,10,27,88.0,71.0
34022,45,10,20,72.0,41.0
11901,44,9,2,68.0,57.0
20501,43,4,8,85.0,75.0
13002,45,4,17,69.0,57.0
10001,44,3,14,90.0,72.0
10505,44,12,30,86.0,69.0
11101,43,11,15,92.0,67.0
16407,43,11,23,27.0,20.0
34113,45,5,23,78.0,62.0
50401,43,3,23,77.0,72.0
11902,43,10,14,88.0,71.0
33307,45,6,27,98.0,65.0
20501,42,4,7,91.0,75.0
34113,44,7,9,82.0,67.0
32815,44,12,20,85.0,56.0
50301,45,10,18,85.0,74.0
11610,44,6,6,86.0,75.0
31401,44,3,1,84.0,71.0
32803,43,12,13,80.0,57.0
10705,45,6,20,92.0,76.0
32501,44,1,22,82.0,68.0
32503,44,7,8,101.0,88.0
10803,45,11,22,90.0,73.0
12101,43,6,10,110.0,83.0
11901,42,4,23,80.0,59.0
60701,45,11,6,93.0,78.0
11601,41,12,27,85.0,76.0
22508,40,9,11,82.0,67.0
11501,44,4,14,84.0,72.0
34139,45,1,19,47.0,34.0
12701,44,9,21,90.0,70.0
50801,45,11,19,77.0,70.0
82405,44,9,28,75.0,62.0
33406,45,2,15,41.0,23.0
10502,42,10,30,90.0,72.0
60701,42,10,18,88.0,79.0
31302,44,3,5,74.0,49.0
22508,45,6,18,83.0,67.0
61501,45,9,26,82.0,74.0
11610,42,9,4,88.0,72.0
10703,44,2,3,83.0,76.0
33303,44,9,19,84.0,66.0
32906,44,5,27,82.0,68.0
11606,43,10,18,88.0,79.0
11601,43,11,1,90.0,77.0
10802,44,9,27,87.0,75.0
32801,43,12,10,77.0,45.0
32803,43,4,26,103.0,73.0
33044,43,7,11,97.0,60.0
31701,45,11,6,78.0,61.0
11610,43,3,31,87.0,69.0
10703,44,3,3,88.0,74.0
41204,45,12,4,93.0,69.0
10701,45,1,13,90.0,70.0
22504,43,3,28,80.0,72.0
13007,44,4,7,70.0,53.0
16407,44,7,24,49.0,39.0
10102,43,6,2,86.0,72.0
11610,43,10,20,89.0,73.0
80504,45,1,21,89.0,76.0
31101,43,6,22,99.0,75.0
32601,42,7,9,87.0,75.0
22504,43,2,26,77.0,58.0
32702,44,10,11,95.0,67.0
11601,44,2,3,84.0,75.0
11615,45,2,12,82.0,64.0
11601,42,7,29,87.0,73.0
33117,45,10,27,78.0,63.0
11701,45,11,30,87.0,72.0
34123,44,5,3,79.0,45.0
32907,44,1,24,73.0,56.0
41207,45,10,25,88.0,74.0
20501,44,5,19,86.0,77.0
10718,45,9,21,87.0,74.0
11604,43,9,29,86.0,76.0
16202,44,1,11,41.0,25.0
82405,44,11,21,88.0,64.0
50302,44,8,2,87.0,71.0
10703,44,3,13,89.0,73.0
61502,43,9,21,83.0,73.0
61501,45,2,12,84.0,74.0
42204,45,9,15,89.0,75.0
10101,44,10,30,85.0,69.0
32805,45,7,23,91.0,77.0
50303,45,10,9,86.0,74.0
22504,45,8,17,89.0,72.0
32803,43,10,20,92.0,74.0
50403,44,11,6,91.0,75.0
32602,44,7,17,90.0,81.0
10804,44,11,24,89.0,71.0
82405,44,8,21,68.0,65.0
30001,43,10,30,85.0,72.0
31001,44,6,1,99.0,77.0
22508,45,1,22,71.0,61.0
12702,44,9,24,85.0,76.0
12101,44,3,8,87.0,61.0
16202,44,6,4,51.0,36.0
33501,44,6,3,94.0,64.0
10718,45,12,31,88.0,76.0
11601,45,5,27,89.0,77.0
22507,45,3,15,81.0,63.0
11801,44,5,12,94.0,73.0
80425,44,11,2,87.0,74.0
32803,43,6,13,88.0,76.0
33111,44,2,3,61.0,39.0
33014,43,12,9,64.0,45.0
50302,44,9,26,87.0,76.0
22507,43,9,28,88.0,70.0
11601,45,3,27,87.0,67.0
32904,44,2,6,67.0,54.0
10718,43,6,26,88.0,74.0
81702,44,6,10,86.0,66.0
50801,43,8,12,72.0,69.0
34139,45,5,23,73.0,58.0
33023,44,12,14,63.0,39.0
11501,44,6,22,87.0,77.0
12801,44,1,30,80.0,61.0
31401,44,12,4,86.0,74.0
10703,45,10,14,78.0,74.0
34012,45,2,10,56.0,37.0
33023,45,9,6,90.0,73.0
33305,45,8,13,100.0,67.0
10502,45,7,5,87.0,71.0
13601,41,12,7,74.0,67.0
11103,44,12,6,76.0,68.0
10502,43,1,14,83.0,72.0
32701,43,12,19,78.0,44.0
16201,44,12,21,48.0,32.0
32801,43,10,31,88.0,62.0
11902,43,2,19,90.0,68.0
34104,44,11,15,64.0,49.0
30001,44,7,19,82.0,76.0
32906,45,1,10,72.0,43.0
22508,42,11,9,85.0,67.0
11601,42,1,5,84.0,74.0
16405,41,10,23,45.0,33.0
10705,45,10,6,83.0,73.0
31001,44,8,3,91.0,69.0
81702,42,6,9,82.0,72.0
31001,44,9,22,94.0,71.0
11801,45,3,22,93.0,69.0
22508,45,3,28,77.0,66.0
33023,44,11,13,67.0,38.0
16407,44,2,23,28.0,22.0
11704,45,10,15,88.0,70.0
11701,44,10,14,94.0,71.0
50302,44,4,18,88.0,73.0
32602,45,1,14,70.0,57.0
50303,45,2,12,84.0,75.0
10505,44,1,29,85.0,68.0
11601,44,7,17,86.0,77.0
61502,44,3,17,87.0,76.0
80411,44,6,27,85.0,73.0
82503,44,1,17,101.0,69.0
33023,43,4,20,73.0,58.0
82502,43,6,29,75.0,30.0
30001,43,8,3,83.0,67.0
22502,45,4,4,83.0,64.0
11606,44,6,20,87.0,75.0
82503,44,10,27,86.0,66.0
32907,44,8,30,88.0,75.0
32904,44,8,31,85.0,76.0
